berth,cargoVolume,Arrival,localVoyage,Departure,vesselName,Status
1,247,"Mon, 09 Oct 2023 09:30:00 GMT",1558-057W,"Mon, 09 Oct 2023 21:30:16 GMT",EVER LENIENT,On Time
2,670,"Mon, 09 Oct 2023 10:00:00 GMT",112E,"Tue, 10 Oct 2023 16:59:37 GMT",CAPE FORTIUS,On Time
3,469,"Mon, 09 Oct 2023 11:00:00 GMT",,"Tue, 10 Oct 2023 12:01:23 GMT",MARCOPOLO 910,On Time
9,416,"Mon, 09 Oct 2023 12:00:00 GMT",0034W,"Tue, 10 Oct 2023 07:10:36 GMT",KOTA PAHLAWAN,Delayed
4,493,"Mon, 09 Oct 2023 19:00:00 GMT",0677S,"Tue, 10 Oct 2023 19:00:10 GMT",KOTA HANDAL,On Time
6,495,"Mon, 09 Oct 2023 19:00:00 GMT",0046N,"Tue, 10 Oct 2023 19:00:18 GMT",KOTA HAPAS,On Time
10,575,"Mon, 09 Oct 2023 21:00:00 GMT",022E,"Tue, 10 Oct 2023 22:15:26 GMT",COSCO SHIPPING NEBULA,Delayed
1,460,"Tue, 10 Oct 2023 01:00:00 GMT",796S,"Wed, 11 Oct 2023 01:01:06 GMT",APL TBN 68,On Time
7,134,"Tue, 10 Oct 2023 03:06:00 GMT",2320W,"Tue, 10 Oct 2023 10:15:58 GMT",KOTA AZAM,Delayed
5,235,"Tue, 10 Oct 2023 05:00:00 GMT",174W,"Tue, 10 Oct 2023 17:00:33 GMT",EVER DAINTY,On Time
9,453,"Tue, 10 Oct 2023 07:10:36 GMT",339S,"Wed, 11 Oct 2023 06:11:23 GMT",MAERSK HAI PHONG,Delayed
7,24,"Tue, 10 Oct 2023 10:15:58 GMT",23103S,"Tue, 10 Oct 2023 11:16:07 GMT",MTT SAMALAJU,Delayed
7,212,"Tue, 10 Oct 2023 11:16:07 GMT",225N,"Tue, 10 Oct 2023 21:16:14 GMT",LADY OF LUCK,Delayed
3,523,"Tue, 10 Oct 2023 12:01:23 GMT",004E,"Wed, 11 Oct 2023 13:01:31 GMT",SINAR BAJO,Delayed
2,563,"Tue, 10 Oct 2023 21:00:00 GMT",138N,"Wed, 11 Oct 2023 22:12:25 GMT",HYUNDAI VOYAGER,Delayed
1,502,"Wed, 11 Oct 2023 07:00:00 GMT",0PPGPE1MA,"Thu, 12 Oct 2023 07:00:08 GMT",APL DUBLIN,On Time
4,454,"Wed, 11 Oct 2023 09:00:00 GMT",1QY7NS1NC,"Thu, 12 Oct 2023 09:01:15 GMT",CMA CGM BLUE WHALE,On Time
5,379,"Wed, 11 Oct 2023 12:00:00 GMT",0034E,"Thu, 12 Oct 2023 07:00:35 GMT",KOTA PELANGI,On Time
6,76,"Wed, 11 Oct 2023 13:00:00 GMT",S364N,"Wed, 11 Oct 2023 17:00:23 GMT",SUMBER JAYA 2518,On Time
3,81,"Wed, 11 Oct 2023 14:00:00 GMT",2306S,"Wed, 11 Oct 2023 18:00:16 GMT",SOL PIONEER,On Time
8,211,"Wed, 11 Oct 2023 15:00:00 GMT",340N,"Thu, 12 Oct 2023 01:15:26 GMT",NORDBORG MAERSK,Delayed
3,472,"Wed, 11 Oct 2023 19:00:00 GMT",23039E,"Thu, 12 Oct 2023 19:00:50 GMT",X-PRESS KAILASH,On Time
2,1065,"Thu, 12 Oct 2023 03:00:00 GMT",0012S,"Sat, 14 Oct 2023 03:40:02 GMT",ANL DARWIN TRADER,Delayed
6,305,"Thu, 12 Oct 2023 05:00:00 GMT",04IFME1MA,"Thu, 12 Oct 2023 19:11:53 GMT",BALTIC NORTH,Delayed
1,660,"Thu, 12 Oct 2023 08:03:00 GMT",261 JN,"Fri, 13 Oct 2023 13:16:11 GMT",SINDO GARUDA KENCANA,Delayed
5,164,"Thu, 12 Oct 2023 09:00:00 GMT",60209A,"Thu, 12 Oct 2023 17:00:16 GMT",DANUM 160,On Time
7,407,"Thu, 12 Oct 2023 09:00:00 GMT",40W,"Fri, 13 Oct 2023 03:17:02 GMT",FELIXSTOWE,Delayed
4,494,"Thu, 12 Oct 2023 11:00:00 GMT",,"Fri, 13 Oct 2023 12:00:37 GMT",NAP 902,On Time
8,120,"Thu, 12 Oct 2023 11:02:00 GMT",,"Thu, 12 Oct 2023 17:02:20 GMT",MAERSK VARNA,On Time
9,693,"Thu, 12 Oct 2023 12:00:00 GMT",23008E,"Fri, 13 Oct 2023 21:00:02 GMT",X-PRESS BARDSEY,On Time
10,514,"Thu, 12 Oct 2023 13:00:00 GMT",,"Fri, 13 Oct 2023 14:00:20 GMT",MARCOPOLO 268,On Time
3,823,"Fri, 13 Oct 2023 02:00:00 GMT",,"Sat, 14 Oct 2023 22:02:19 GMT",INDO SUKSES 50,On Time
5,465,"Fri, 13 Oct 2023 02:00:00 GMT",0XL3TS1NC,"Sat, 14 Oct 2023 01:00:31 GMT",QINGDAO TOWER,On Time
6,592,"Fri, 13 Oct 2023 07:30:00 GMT",0300S,"Sat, 14 Oct 2023 15:31:53 GMT",KOTA RAJIN,On Time
